ID Geography,Geography,ID Citizenship,Citizenship,Citizenship Status (2013),Citizenship Status (2014),Citizenship Status (2015),Citizenship Status (2016),Citizenship Status (2017),Citizenship Status (2018),Citizenship Status (2019),Citizenship Status (2020),Citizenship Status (2021),Citizenship Status (2022)
"04000US51","Virginia",0,"Citizen",7618026,7691081,7765926,7816281,7869274,7911374,7953315,8013942,8094156,8145352
"04000US53","Washington",0,"Citizen",6333155,6405630,6485516,6564104,6648080,6757543,6850928,6945408,7040093,7097801
"04000US54","West Virginia",0,"Citizen",1839557,1839310,1836942,1831853,1822215,1814427,1802674,1792830,1787524,1780025
"04000US55","Wisconsin",0,"Citizen",5553230,5570952,5588750,5599331,5607470,5621661,5633104,5653296,5716307,5727990
"04000US56","Wyoming",0,"Citizen",558090,562978,566617,570346,570393,569255,568948,569609,564786,566080
"04000US01","Alabama",1,"Non-Citizen",114403,110963,108527,106663,106217,105024,105311,101125,102006,103233
"04000US02","Alaska",1,"Non-Citizen",23385,23770,24330,24109,24207,24617,24613,23787,23137,22723
"04000US04","Arizona",1,"Non-Citizen",544807,544166,541823,536203,536708,538326,530908,518823,496328,491202
"04000US05","Arkansas",1,"Non-Citizen",93717,95386,95944,94459,96397,96818,96291,98118,97929,97907
"04000US06","California",1,"Non-Citizen",5384868,5378737,5347443,5298355,5250604,5184310,5096124,4930125,4858827,4805833
"04000US08","Colorado",1,"Non-Citizen",313412,314812,316230,317762,320192,318943,311492,297054,290402,286080
"04000US09","Connecticut",1,"Non-Citizen",254839,254953,257075,254629,254388,250818,248326,241531,245339,244785
"04000US10","Delaware",1,"Non-Citizen",42391,41352,43770,43979,45639,45905,47674,44205,44621,44968
"04000US11","District of Columbia",1,"Non-Citizen",51343,54143,54854,53982,55262,55988,53099,51248,49173,46037
"04000US12","Florida",1,"Non-Citizen",1826711,1829820,1832192,1832945,1871063,1897939,1908023,1889101,1877531,1894321
"04000US13","Georgia",1,"Non-Citizen",596693,590838,588643,591724,596894,591482,594599,582832,579784,580933
"04000US15","Hawaii",1,"Non-Citizen",106779,108374,107544,109721,108079,109216,108827,107122,107388,104192
"04000US16","Idaho",1,"Non-Citizen",60794,61406,62931,61286,60680,61275,60945,58823,59012,58698
"04000US17","Illinois",1,"Non-Citizen",955759,948240,939742,923516,913882,898381,885687,849567,854472,845426
"04000US18","Indiana",1,"Non-Citizen",200505,199986,201415,203764,206958,207242,210480,212224,214948,218375
"04000US19","Iowa",1,"Non-Citizen",84966,89693,91853,94491,97268,100396,99826,100493,99463,99983
"04000US20","Kansas",1,"Non-Citizen",126512,127569,128438,126903,127777,126705,126024,119639,118326,118995
"04000US21","Kentucky",1,"Non-Citizen",93159,95156,96419,97069,99437,102677,103404,104872,107064,106871
"04000US22","Louisiana",1,"Non-Citizen",104788,109392,109643,109960,114487,114528,114467,113130,114257,113172
"04000US23","Maine",1,"Non-Citizen",20155,21498,21122,21540,20960,21424,20835,21731,22292,23319
"04000US24","Maryland",1,"Non-Citizen",434148,439968,443202,442757,443489,440537,441608,428772,435084,440065
"04000US25","Massachusetts",1,"Non-Citizen",490848,496435,498539,507234,519292,533281,535859,531066,552659,556319
"04000US26","Michigan",1,"Non-Citizen",302714,302286,304683,307623,316459,322866,326181,317437,314923,306872
"04000US27","Minnesota",1,"Non-Citizen",210177,209754,215196,216058,222887,228113,228066,213520,212185,207836
"04000US28","Mississippi",1,"Non-Citizen",44198,43473,45050,42432,42470,43317,42569,40199,39258,38547
"04000US29","Missouri",1,"Non-Citizen",133029,132962,133408,129624,131041,131589,133228,127456,126233,126412
"04000US30","Montana",1,"Non-Citizen",9241,9626,9852,9588,10396,10716,10368,9900,10226,11110
"04000US31","Nebraska",1,"Non-Citizen",76064,77696,79165,81949,82920,83089,84191,86499,85082,84382
"04000US32","Nevada",1,"Non-Citizen",296213,293484,293762,292032,293386,293257,291093,289681,282494,280504
"04000US33","New Hampshire",1,"Non-Citizen",34488,34883,35560,36090,36404,36381,36345,35600,35306,33168
"04000US34","New Jersey",1,"Non-Citizen",911565,915239,905051,896241,897450,869722,866701,859107,902220,907075
"04000US35","New Mexico",1,"Non-Citizen",134929,134955,132352,128420,126377,123123,116211,110163,109427,107842
"04000US36","New York",1,"Non-Citizen",2043941,2058158,2047527,2020397,2006012,1937820,1885643,1820698,1862103,1821291
"04000US37","North Carolina",1,"Non-Citizen",500007,500967,500051,495714,498309,494357,497991,494703,497107,500953
"04000US38","North Dakota",1,"Non-Citizen",12027,13071,14031,14691,16295,17548,18414,19388,19860,20861
"04000US39","Ohio",1,"Non-Citizen",232845,235238,237034,238914,247920,253618,258221,255314,261477,263620
"04000US40","Oklahoma",1,"Non-Citizen",139764,143935,147999,149627,150488,152992,150583,148515,146211,146906
"04000US41","Oregon",1,"Non-Citizen",233939,233488,232480,228675,229637,228412,224600,217482,214201,210812
"04000US42","Pennsylvania",1,"Non-Citizen",370228,380634,385028,393307,403153,410844,412209,410853,418881,419182
