ID Geography,Geography,Foreign-Born Citizens (2015),Foreign-Born Citizens (2016),Foreign-Born Citizens (2017),Foreign-Born Citizens (2018),Foreign-Born Citizens (2019),Foreign-Born Citizens (2020),Foreign-Born Citizens (2021),Foreign-Born Citizens (2022),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019),Population (2020),Population (2021),Population (2022)
"50000US0501","Congressional District 1, AR",14014,13605,13643,13349,13368,14381,14351,15280,727814,727516,726282,724990,723743,722915,721413,720941,717868,754109
"50000US0502","Congressional District 2, AR",29483,29760,31174,32208,32445,31934,31927,28639,738408,745257,750711,754821,757113,760604,762623,765408,767099,751268
"50000US0503","Congressional District 3, AR",72209,72278,73509,74246,76652,78814,79737,73148,740638,750491,761175,772676,782339,795817,807399,820935,831156,758572
"50000US0504","Congressional District 4, AR",23124,23400,22761,22686,22582,23013,22144,27861,726509,723772,720040,715985,714749,711335,707935,704589,690186,754720
"50000US0601","Congressional District 1, CA",44424,44301,45133,44199,43641,45852,46069,78594,703460,704170,704448,703985,704958,706822,706834,704482,708366,766231
"50000US0602","Congressional District 2, CA",95961,96030,95217,94967,93431,93036,96617,102899,705080,709377,712526,713613,717270,717732,716090,714171,722327,763623
"50000US0603","Congressional District 3, CA",131408,134521,137672,138700,140767,136840,138141,86200,706946,710463,716206,722896,730723,736039,742328,746967,757414,764866
"50000US0604","Congressional District 4, CA",63952,65707,67330,69637,70371,70331,73209,136205,704155,709026,712747,718699,726653,734899,741894,750420,760658,764345
"50000US0605","Congressional District 5, CA",149745,151230,150121,150901,149771,150207,150178,88835,709973,717238,720557,724966,727704,728000,727130,724984,728345,761352
"50000US0606","Congressional District 6, CA",167317,169077,172438,175692,177438,175283,178131,157609,709858,716945,725594,734450,743423,751475,760831,764174,781387,755594
"50000US0607","Congressional District 7, CA",133735,134692,138902,141256,144616,148722,154423,170148,711508,721345,729192,732954,739746,747097,751400,762260,778765,753515
"50000US0608","Congressional District 8, CA",91285,94336,94649,97287,100503,100665,104859,207839,701729,707590,712224,716168,719950,721709,724105,729399,749184,752780
"50000US0609","Congressional District 9, CA",164367,167726,169798,169914,171281,170575,176840,178217,713822,723517,730863,739025,750185,758327,768191,775716,796370,762122
"50000US0610","Congressional District 10, CA",147992,147165,150878,153758,154735,154263,156597,178083,708208,715504,723880,729022,737719,744389,751622,757213,764549,755993
"50000US0611","Congressional District 11, CA",181844,186670,192111,196613,202033,197110,199180,230022,713834,721629,732078,739386,749531,754654,761070,760284,767298,735920
"50000US0612","Congressional District 12, CA",248632,249784,252353,251107,251454,251201,249190,195618,709733,720093,731379,740337,752652,756773,762627,763777,757251,750210
"50000US0613","Congressional District 13, CA",196852,200573,206001,206340,204515,202991,206055,212488,713621,722995,733401,740683,750102,754861,759834,760817,772203,770975
"50000US0614","Congressional District 14, CA",275052,276464,280986,282810,284010,284361,282933,282022,716505,726899,736622,741332,750274,753548,753409,749549,747495,751587
"50000US0615","Congressional District 15, CA",243875,248874,256960,264361,270718,277780,284916,296193,715442,728585,741528,751439,764963,773841,779710,788527,796865,752065
"50000US0616","Congressional District 16, CA",180954,181154,179779,179836,179833,175159,174849,250547,707600,713649,717984,721109,725356,728535,731650,736400,747131,749237
"50000US0617","Congressional District 17, CA",346493,356819,366547,374935,384264,387121,388107,371760,715860,727638,740121,748800,762175,771459,779960,776763,780242,751593
"50000US0618","Congressional District 18, CA",203118,208832,216724,221027,224375,230069,234296,253458,717291,724501,728724,730782,735753,740932,741968,744487,744528,759200
"50000US0619","Congressional District 19, CA",265265,267285,273843,270846,270852,273665,272872,170861,711741,725285,738243,748954,760615,759866,758819,758327,754007,753931
"50000US0620","Congressional District 20, CA",192869,191703,192359,192724,191492,185659,189785,93004,711237,719355,725254,729525,734923,735667,737426,736750,744111,762132
"50000US0621","Congressional District 21, CA",209110,206949,205355,206211,205980,201869,198380,163657,704931,710712,711866,711464,712221,712857,713144,713346,710344,758893
"50000US0622","Congressional District 22, CA",132155,133444,135007,136478,137581,138171,139504,203774,715511,724506,734495,739449,748078,755464,763702,769728,786891,780816
"50000US0623","Congressional District 23, CA",100429,101508,101171,102947,104587,107487,112925,107022,710045,717203,723632,730050,738134,740768,743054,748143,771198,758852
"50000US0624","Congressional District 24, CA",130805,131344,131899,131752,132213,128915,128718,132557,709257,715126,722051,727935,732284,734027,735979,736030,739183,760229
"50000US0625","Congressional District 25, CA",148420,148797,145668,145973,141311,139323,146996,189667,707291,712071,718475,719970,720000,718950,714481,710525,745689,763179
"50000US0626","Congressional District 26, CA",169525,170348,169035,165168,163148,158290,156818,173207,707173,713059,717882,720336,725161,725953,725558,724221,722958,757602
"50000US0627","Congressional District 27, CA",274416,275120,277662,277367,276955,274184,270364,159026,709635,714256,716789,717212,719377,717944,714769,711767,708388,747561
"50000US0628","Congressional District 28, CA",295022,291318,287984,284418,278058,272878,267007,271520,707712,714098,716256,716990,717921,715011,712362,712193,704354,748192
"50000US0629","Congressional District 29, CA",313926,313784,311644,308638,306951,302577,296541,304972,703728,707030,714303,717765,721965,721304,720207,715422,703638,742347
